year,quarter,id,industry,UNEMP1,UNEMP2,UNEMP3,UNEMP4,UNEMP5,UNEMP6,UNEMPA,UNEMPB,UNEMPC,UNEMPD
1969,1,48,-999,3.399999999,3.699999999,4,4,3.799999997,-999,-999,-999,-999,-999
1969,1,49,-999,3.399999999,3.399999999,3.599999998,3.899999999,4.099999998,-999,-999,-999,-999,-999
1969,1,50,-999,3.399999999,3.5,3.599999998,3.899999999,3.699999999,-999,-999,-999,-999,-999
1969,1,51,-999,3.399999999,3.599999998,4,4,3.899999999,-999,-999,-999,-999,-999
1969,1,52,-999,3.399999999,3.799999997,4.399999999,4.299999997,4.299999997,-999,-999,-999,-999,-999
1969,1,53,-999,3.399999999,3.5,3.5,3.5,3.5,-999,-999,-999,-999,-999
1969,1,54,-999,3.399999999,3.399999999,3.5,3.699999999,4,-999,-999,-999,-999,-999
1969,1,57,-999,3.399999999,3.799999997,4.299999997,4.5,4.699999999,-999,-999,-999,-999,-999
1969,1,58,-999,3.399999999,3.5,4.199999999,4,4,-999,-999,-999,-999,-999
1969,1,59,-999,3.399999999,3.699999999,3.899999999,3.799999997,3.599999998,-999,-999,-999,-999,-999
1969,1,60,-999,3.399999999,3.599999998,3.699999999,3.799999997,3.899999999,-999,-999,-999,-999,-999
1969,1,61,-999,3.399999999,3.399999999,3.399999999,3.5,3.599999998,-999,-999,-999,-999,-999
1969,1,62,-999,3.599999998,3.799999997,3.899999999,4,4.099999998,-999,-999,-999,-999,-999
1969,1,64,-999,3.399999999,3.399999999,3.699999999,4.099999998,4.099999998,-999,-999,-999,-999,-999
1969,1,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,1,66,-999,3.299999997,3.5,3.699999999,3.599999998,3.599999998,-999,-999,-999,-999,-999
1969,1,67,-999,3.399999999,3.5,3.699999999,3.599999998,3.5,-999,-999,-999,-999,-999
1969,1,69,-999,3.399999999,3.399999999,3.399999999,3.599999998,3.799999997,-999,-999,-999,-999,-999
1969,1,70,-999,3.399999999,3.299999997,3.399999999,3.5,3.699999999,-999,-999,-999,-999,-999
1969,1,72,-999,3.399999999,3.5,4,4.199999999,4,-999,-999,-999,-999,-999
1969,1,73,-999,3.399999999,3.599999998,4.099999998,4,3.899999999,-999,-999,-999,-999,-999
1969,1,74,-999,3.399999999,3.5,3.699999999,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,1,77,-999,3.399999999,3.899999999,4,4.099999998,3.699999999,-999,-999,-999,-999,-999
1969,1,78,-999,3.399999999,3.599999998,3.799999997,3.799999997,3.599999998,-999,-999,-999,-999,-999
1969,1,79,-999,3.399999999,3.5,3.599999998,3.799999997,4,-999,-999,-999,-999,-999
1969,1,81,-999,3.399999999,3.599999998,3.799999997,4,4,-999,-999,-999,-999,-999
1969,1,84,-999,3.399999999,3.5,3.599999998,3.799999997,3.899999999,-999,-999,-999,-999,-999
1969,1,85,-999,3.399999999,3.699999999,3.899999999,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,1,89,-999,3.399999999,3.399999999,3.5,3.699999999,4.099999998,-999,-999,-999,-999,-999
1969,1,90,-999,3.399999999,3.5,3.599999998,3.799999997,4,-999,-999,-999,-999,-999
1969,1,91,-999,3.399999999,3.799999997,4.299999997,4.299999997,4.099999998,-999,-999,-999,-999,-999
1969,1,92,-999,3.399999999,3.699999999,4,4.199999999,4.199999999,-999,-999,-999,-999,-999
1969,1,93,-999,3.399999999,3.299999997,3.5,3.599999998,3.799999997,-999,-999,-999,-999,-999
1969,1,94,-999,3.399999999,3.5,3.699999999,3.599999998,3.5,-999,-999,-999,-999,-999
1969,1,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,1,96,-999,3.399999999,3.399999999,3.5,3.699999999,3.899999999,-999,-999,-999,-999,-999
1969,2,1,-999,3.299999997,3.299999997,3.399999999,3.5,3.399999999,-999,-999,-999,-999,-999
1969,2,3,-999,3.299999997,3.599999998,3.799999997,3.899999999,3.899999999,-999,-999,-999,-999,-999
1969,2,4,-999,3.399999999,3.599999998,3.899999999,4,4,-999,-999,-999,-999,-999
1969,2,6,-999,3.299999997,3.5,4,4.299999997,4.5,-999,-999,-999,-999,-999
1969,2,8,-999,3.299999997,3.5,3.799999997,4,4,-999,-999,-999,-999,-999
1969,2,9,-999,3.299999997,3.5,3.799999997,4,4,-999,-999,-999,-999,-999
1969,2,10,-999,3.299999997,3.5,3.699999999,3.899999999,4.099999998,-999,-999,-999,-999,-999
1969,2,13,-999,3.399999999,3.399999999,3.399999999,3.299999997,3.299999997,-999,-999,-999,-999,-999
1969,2,15,-999,3.299999997,3.599999998,4,4,4,-999,-999,-999,-999,-999
1969,2,16,-999,3.299999997,3.399999999,3.599999998,3.799999997,3.899999999,-999,-999,-999,-999,-999
1969,2,18,-999,3.299999997,3.399999999,3.5,3.599999998,3.699999999,-999,-999,-999,-999,-999
1969,2,21,-999,3.299999997,3.699999999,3.899999999,4.299999997,4.599999998,-999,-999,-999,-999,-999
1969,2,23,-999,3.299999997,3.399999999,3.5,3.699999999,3.599999998,-999,-999,-999,-999,-999
1969,2,26,-999,3.299999997,3.5,3.699999999,3.799999997,3.899999999,-999,-999,-999,-999,-999
1969,2,27,-999,3.299999997,3.5,3.5,3.799999997,-999,-999,-999,-999,-999,-999
1969,2,28,-999,3.299999997,3.299999997,3.399999999,3.399999999,3.5,-999,-999,-999,-999,-999
1969,2,30,-999,3.299999997,3.399999999,3.5,3.5,3.599999998,-999,-999,-999,-999,-999
1969,2,31,-999,3.299999997,3.5,3.699999999,3.599999998,3.599999998,-999,-999,-999,-999,-999
1969,2,32,-999,3.299999997,3.5,3.799999997,4,3.699999999,-999,-999,-999,-999,-999
1969,2,33,-999,3.299999997,3.399999999,3.599999998,3.599999998,3.599999998,-999,-999,-999,-999,-999
1969,2,35,-999,3.299999997,3.5,3.699999999,3.899999999,4,-999,-999,-999,-999,-999
1969,2,38,-999,3.299999997,3.5,3.599999998,3.799999997,4,-999,-999,-999,-999,-999
1969,2,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,2,41,-999,3.299999997,3.399999999,3.399999999,3.5,3.599999998,-999,-999,-999,-999,-999
1969,2,42,-999,3.299999997,3.299999997,3.199999999,3.199999999,3.199999999,-999,-999,-999,-999,-999
1969,2,43,-999,3.299999997,3.5,3.5,3.5,3.5,-999,-999,-999,-999,-999
1969,2,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,2,46,-999,3.299999997,3.599999998,3.799999997,4,4.099999998,-999,-999,-999,-999,-999
1969,2,47,-999,3.299999997,3.5,3.599999998,3.899999999,4.399999999,-999,-999,-999,-999,-999
1969,2,48,-999,3.299999997,3.299999997,3.599999998,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,2,49,-999,3.299999997,3.399999999,3.599999998,4,4.099999998,-999,-999,-999,-999,-999
1969,2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,2,51,-999,3.299999997,3.599999998,3.899999999,4.199999999,4.299999997,-999,-999,-999,-999,-999
1969,2,52,-999,3.299999997,3.399999999,3.799999997,4.199999999,4.5,-999,-999,-999,-999,-999
1969,2,53,-999,3.299999997,3.399999999,3.599999998,3.699999999,3.699999999,-999,-999,-999,-999,-999
1969,2,55,-999,3.299999997,3.399999999,3.5,3.699999999,3.799999997,-999,-999,-999,-999,-999
1969,2,56,-999,3.299999997,3.5,3.5,3.799999997,4,-999,-999,-999,-999,-999
1969,2,58,-999,3.299999997,3.5,3.799999997,4,4,-999,-999,-999,-999,-999
1969,2,61,-999,3.299999997,3.599999998,3.799999997,4,4.099999998,-999,-999,-999,-999,-999
1969,2,62,-999,3.299999997,3.399999999,3.599999998,3.799999997,4,-999,-999,-999,-999,-999
1969,2,64,-999,3.299999997,3.5,3.799999997,4.099999998,-999,-999,-999,-999,-999,-999
1969,2,66,-999,3.299999997,3.5,3.5,3.599999998,3.799999997,-999,-999,-999,-999,-999
1969,2,67,-999,3.299999997,3.5,3.699999999,4.199999999,4.199999999,-999,-999,-999,-999,-999
1969,2,69,-999,3.299999997,3.199999999,3.199999999,3.399999999,3.599999998,-999,-999,-999,-999,-999
1969,2,70,-999,3.299999997,3.5,3.5,3.599999998,3.799999997,-999,-999,-999,-999,-999
1969,2,72,-999,3.299999997,3.599999998,3.899999999,4.299999997,4.699999999,-999,-999,-999,-999,-999
1969,2,73,-999,3.299999997,3.5,3.599999998,3.599999998,3.599999998,-999,-999,-999,-999,-999
1969,2,74,-999,3.299999997,3.5,3.699999999,4,4.299999997,-999,-999,-999,-999,-999
1969,2,75,-999,3.299999997,3.5,3.799999997,4,4,-999,-999,-999,-999,-999
1969,2,79,-999,3.299999997,3.399999999,3.599999998,3.599999998,3.799999997,-999,-999,-999,-999,-999
1969,2,81,-999,3.299999997,3.5,3.799999997,3.899999999,3.799999997,-999,-999,-999,-999,-999
1969,2,82,-999,3.299999997,3.5,3.599999998,3.699999999,3.799999997,-999,-999,-999,-999,-999
1969,2,83,-999,3.299999997,3.199999999,3.5,3.5,3.799999997,-999,-999,-999,-999,-999
1969,2,85,-999,3.299999997,3.399999999,3.699999999,3.899999999,3.899999999,-999,-999,-999,-999,-999
1969,2,86,-999,3.299999997,3.5,3.699999999,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,2,88,-999,3.299999997,3.399999999,3.5,3.899999999,3.799999997,-999,-999,-999,-999,-999
1969,2,89,-999,3.299999997,3.5,3.799999997,4.099999998,4.199999999,-999,-999,-999,-999,-999
1969,2,90,-999,3.299999997,3.399999999,3.599999998,3.799999997,4.199999999,-999,-999,-999,-999,-999
1969,2,92,-999,3.299999997,3.399999999,3.599999998,3.899999999,4.099999998,-999,-999,-999,-999,-999
1969,3,1,-999,3.399999999,3.5,4.099999998,4.099999998,4,-999,-999,-999,-999,-999
1969,3,3,-999,3.5,3.799999997,4.399999999,4.599999998,4.5,-999,-999,-999,-999,-999
1969,3,6,-999,3.5,3.699999999,4.199999999,4.5,4.599999998,-999,-999,-999,-999,-999
1969,3,10,-999,3.5,3.599999998,3.699999999,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,3,13,-999,3.5,3.399999999,3.5,3.5,3.599999998,-999,-999,-999,-999,-999
1969,3,14,-999,3.5,3.599999998,3.799999997,4,4,-999,-999,-999,-999,-999
1969,3,15,-999,3.5,3.599999998,3.799999997,4,4.199999999,-999,-999,-999,-999,-999
1969,3,18,-999,3.5,3.599999998,3.699999999,3.799999997,3.899999999,-999,-999,-999,-999,-999
1969,3,22,-999,3.5,3.599999998,3.699999999,3.699999999,3.699999999,-999,-999,-999,-999,-999
1969,3,23,-999,3.5,3.699999999,4,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,3,24,-999,3.5,3.5,3.699999999,4,4,-999,-999,-999,-999,-999
1969,3,26,-999,3.5,3.599999998,3.699999999,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,3,29,-999,3.5,3.799999997,4,4,3.899999999,-999,-999,-999,-999,-999
1969,3,30,-999,3.5,3.699999999,3.899999999,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,3,31,-999,3.5,3.599999998,3.599999998,3.599999998,3.699999999,-999,-999,-999,-999,-999
1969,3,33,-999,3.5,3.699999999,3.599999998,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,3,34,-999,3.5,3.699999999,3.899999999,4.299999997,4.5,-999,-999,-999,-999,-999
1969,3,38,-999,3.5,3.699999999,3.899999999,4,4.199999999,-999,-999,-999,-999,-999
1969,3,39,-999,3.5,3.599999998,3.799999997,3.699999999,3.5,-999,-999,-999,-999,-999
1969,3,40,-999,3.5,3.699999999,3.899999999,4.099999998,4.399999999,-999,-999,-999,-999,-999
1969,3,41,-999,3.5,3.599999998,3.899999999,4,4.199999999,-999,-999,-999,-999,-999
1969,3,44,-999,3.5,3.699999999,4,4.199999999,4,-999,-999,-999,-999,-999
1969,3,46,-999,3.5,3.699999999,4.199999999,4.399999999,4.399999999,-999,-999,-999,-999,-999
1969,3,47,-999,3.5,3.599999998,3.799999997,4,4.199999999,-999,-999,-999,-999,-999
1969,3,48,-999,3.5,3.699999999,4,4.099999998,4.099999998,-999,-999,-999,-999,-999
1969,3,49,-999,3.5,3.599999998,3.799999997,4.199999999,4.599999998,-999,-999,-999,-999,-999
1969,3,51,-999,3.5,3.699999999,4,4.299999997,4.599999998,-999,-999,-999,-999,-999
1969,3,53,-999,3.5,3.5,3.599999998,3.699999999,3.799999997,-999,-999,-999,-999,-999
1969,3,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,3,56,-999,3.5,3.699999999,3.799999997,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,3,58,-999,3.5,3.699999999,4,4.199999999,4.099999998,-999,-999,-999,-999,-999
1969,3,61,-999,3.5,3.599999998,3.699999999,3.899999999,4,-999,-999,-999,-999,-999
1969,3,62,-999,3.5,3.599999998,3.799999997,4,4,-999,-999,-999,-999,-999
1969,3,64,-999,3.5,3.599999998,4,4.399999999,4.699999999,-999,-999,-999,-999,-999
1969,3,65,-999,3.399999999,3.699999999,3.899999999,4.099999998,4.399999999,-999,-999,-999,-999,-999
1969,3,69,-999,3.5,3.5,3.5,3.699999999,3.899999999,-999,-999,-999,-999,-999
1969,3,70,-999,3.5,3.599999998,3.699999999,3.799999997,3.899999999,-999,-999,-999,-999,-999
1969,3,74,-999,3.5,3.699999999,4,4.099999998,3.899999999,-999,-999,-999,-999,-999
1969,3,76,-999,3.5,3.599999998,3.599999998,3.699999999,3.899999999,-999,-999,-999,-999,-999
